fire_id,cause_id,agency_id,time_id,collection_method,acres_burned,shape_area,shape_length,duration_days
16556,4,3,904,,7585.5,51839098.1445313,32530.7216723683,
16557,9,1,7429,,6960.0,40397008.2539063,43139.4729399434,
16558,14,1,7427,,6641.275,42965992.8554688,40981.5953078735,
16559,14,1,7430,,6285.534,44046722.1210938,42887.4041072654,
16560,14,1,7431,,5453.681,32362511.765625,40476.8111288648,
16561,14,1,7432,,5202.216,32659626.6015625,30234.4568581079,
16562,14,2,7433,,4956.253,28953423.5390625,30943.1589115129,
16563,18,1,7434,,4938.644,31578633.1601563,25632.701746889,
16564,14,4,7432,8.0,4298.578,26999773.6835938,41041.8721444155,0.0
16565,14,1,7425,,3921.127,23272184.5117188,31690.4556340444,
16566,9,3,7435,,3892.874,28264424.3554688,23470.8688364403,
16567,14,1,7436,,3490.359,23121662.8554688,34509.3398913764,
16568,14,1,7437,,3222.791,19855864.1757813,27091.3775830142,
16569,9,3,7438,,3083.721,18394437.7890625,22240.4591062447,
16570,14,1,7430,,2749.764,18853103.8359375,18449.2087532218,
16571,14,1,7439,,2678.482,18784719.8046875,22235.272830562,
16572,15,3,7440,6.0,2677.333,17405202.3671875,19937.2773554858,2.0
16573,14,1,7427,,2661.699,17721305.1210938,24060.9407523237,
16574,14,1,7441,,2514.323,17567451.1484375,18104.1069754352,
16575,9,1,7442,,2357.984,14761363.9257813,18443.6566112978,
16576,9,3,904,,2340.475,15963405.5078125,18115.5156833263,
16577,9,3,904,,2255.811,14547633.6367188,20717.5420366107,
16578,14,1,7441,,2212.498,15357501.0,18223.3692661542,
16579,3,5,7443,,2200.628,15601169.0742188,23129.3817904595,
16580,14,1,7444,,2186.898,14656792.015625,22351.7785524777,
16581,14,1,7445,,2129.215,14329448.3828125,19700.1084094421,
16582,14,1,7439,,2069.129,14484969.6875,15399.4471933191,
16583,14,1,7440,,2026.992,13518281.765625,20955.7597040668,
16584,14,1,7440,,1951.836,12261141.6289063,17874.2290846775,
16585,14,2,7446,,1790.678,10660636.4960938,21859.9234105296,
16586,14,1,7447,,1756.716,11988860.9414063,25653.8004447344,
16587,14,1,7437,,1643.367,11004924.1210938,18148.2270079856,
16588,14,1,904,,1624.758,10946538.984375,16814.9677605423,
16589,14,1,7430,,1561.977,10479458.5390625,16175.7478692193,
16590,14,1,7448,,1437.016,9049476.765625,10823.3759001834,
16591,14,1,7449,,1423.528,9896877.125,18395.0734916083,
16592,14,1,7450,,1142.891,7627108.5390625,13389.3583510686,
16593,9,3,7451,,1063.177,7754647.88671875,14023.2812363428,
16594,14,2,7452,,1047.923,6241514.60546875,18834.5332327224,
16595,14,1,7453,,1032.007,6808509.609375,16202.8287858049,
16596,14,1,7454,,1006.743,6845893.9296875,11226.1298859658,
16597,14,1,7440,,997.7122,5922766.13671875,12707.5623993745,
16598,14,1,7455,,988.027,5734166.9140625,13618.3403170587,
16599,14,1,7456,,930.5686,6113517.04296875,10423.4544978262,
16600,14,1,7457,,900.4863,5896594.84375,14799.4411776826,
16601,14,1,7458,,849.4334,5776677.20703125,11619.0701458156,
16602,14,1,7459,,819.989,5017750.6640625,10579.1775392932,
16603,14,1,7460,,798.6353,5012154.515625,10532.5797891906,
16604,9,3,904,,788.2894,4743398.0625,9780.24368229356,
16605,9,3,904,,772.3417,4737014.09375,11620.599984312,
16606,14,1,7447,,755.8954,4495964.41015625,13235.8026365548,
16607,14,1,7440,,726.3806,4776778.2578125,17271.9831539179,
16608,14,1,7430,,715.7832,4820985.72265625,11001.1273744567,
16609,9,3,7461,,699.532,4274637.26171875,9185.15404964688,
16610,14,2,7442,,698.1675,4145717.44140625,11492.8766585486,
16611,14,2,7445,,691.2073,4181531.75,10435.3164116099,
16612,14,1,7462,,687.8934,4569900.67578125,8450.09914297553,
16613,14,1,7463,,676.6469,4748008.9609375,10386.9838849473,
16614,14,2,7431,,672.297,4004855.33984375,10861.1805366467,
16615,14,1,7464,,639.0255,4097253.890625,8241.37117267967,
16616,14,4,7440,8.0,634.0927,3984122.01171875,9344.14631915218,5.0
16617,9,3,7427,,617.8854,4524403.5,12020.3249347796,
16618,14,1,7451,,616.749,4207124.26953125,11229.960840392,
16619,14,1,7463,,582.1285,3746090.421875,8184.18953856134,
16620,2,3,7436,,570.1154,4096526.53515625,8170.24903095165,
